Year,GDP
1960,2843960226
1961,2944498664
1962,3172314986
1963,3465374441
1964,3796938100
1965,4103901923
1966,4255785844
1967,4413744997
1968,4667897232
1969,5191390299
1970,5799926258
1971,6855000000
1972,7872000000
1973,9201000000
1974,10110000000
1975,11388000000
1976,13964000000
1977,15643000000
1978,17730000000
1979,20696000000
1980,24086000000
1981,29328000000
1982,33178000000
1983,36989000000
1984,41785000000
1985,48249000000
1986,57953000000
1987,65228000000
1988,70137000000
1989,74212000000
1990,76127000000
1991,75967000000
1992,78335000000
1993,84575000000
1994,90600000000
1995,96236000000
1996,1.01101E+11
1997,1.04815E+11
1998,1.06826E+11
1999,1.13229E+11
2000,1.19839E+11
2001,1.28712E+11
2002,1.35181E+11
2003,1.44502E+11
2004,1.54559E+11
2005,1.62937E+11
2006,1.72004E+11
2007,1.86673E+11
2008,1.89406E+11
2009,1.94307E+11
2010,2.03342E+11
2011,2.1303E+11
2012,2.17494E+11
2013,2.32797E+11
2014,2.42699E+11
2015,2.55397E+11
2016,2.71357E+11
2017,2.90724E+11
2018,3.06173E+11
2019,3.23075E+11
2020,3.27992E+11
2021,3.58602E+11
2022,3.89144E+11
2023,4.12752E+11
2024,4.11926E+11
2025,4.18929E+11
