Indicator Code,SP.POP.TOTL
1960,2371800
1961,2419700
1962,2482000
1963,2531800
1964,2585400
1965,2628400
1966,2675900
1967,2724100
1968,2748100
1969,2772800
1970,2810700
1971,2853000
1972,2903900
1973,2961300
1974,3023700
1975,3083100
1976,3110500
1977,3120200
1978,3121200
1979,3109000
1980,3112900
1981,3124900
1982,3156100
1983,3199300
1984,3227100
1985,3247100
1986,3246300
1987,3274400
1988,3283400
1989,3299200
1990,3329800
1991,3495100
1992,3531700
1993,3572200
1994,3620000
1995,3673400
1996,3732000
1997,3781300
1998,3815000
1999,3835100
2000,3857700
2001,3880500
2002,3948500
2003,4027200
2004,4087500
2005,4133900
2006,4184600
2007,4223800
2008,4259800
2009,4302600
2010,4350700
2011,4384000
2012,4408100
2013,4442100
2014,4516500
2015,4609400
2016,4714100
2017,4813600
2018,4900600
2019,4979200
2020,5090200.00
2021,5111400.00
2022,5124100.00
2023,5199100.00
